DEBUG flower 2021-04-10 14:49:28,389 | client.py:83 | Start SSP client with delay [40,80]
DEBUG flower 2021-04-10 14:49:33,958 | connection.py:36 | ChannelConnectivity.IDLE
DEBUG flower 2021-04-10 14:49:33,959 | connection.py:36 | ChannelConnectivity.CONNECTING
INFO flower 2021-04-10 14:49:33,960 | app.py:63 | Opened (insecure) gRPC connection
DEBUG flower 2021-04-10 14:49:33,960 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:49:33,961 | connection.py:36 | ChannelConnectivity.READY
DEBUG flower 2021-04-10 14:49:41,989 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:49:41,989 | numpy_client.py:172 | fit, FitIns(clock=0)
INFO flower 2021-04-10 14:49:41,990 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 14:49:41,990 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:49:42,138 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:49:42,138 | numpy_client.py:228 | read: ReadRes(clock=-1)
DEBUG flower 2021-04-10 14:49:42,155 | numpy_client.py:172 | fit, FitIns(clock=0)
DEBUG flower 2021-04-10 14:49:42,155 | numpy_client.py:260 | cached_clock: -1, curr_clock: 0
INFO flower 2021-04-10 14:49:44,134 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=0)
INFO flower 2021-04-10 14:49:44,134 | chaos.py:14 | Delay 74 sec
DEBUG flower 2021-04-10 14:50:58,176 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:50:58,198 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:50:58,199 | numpy_client.py:172 | fit, FitIns(clock=1)
DEBUG flower 2021-04-10 14:50:58,199 | numpy_client.py:260 | cached_clock: -1, curr_clock: 1
INFO flower 2021-04-10 14:50:58,199 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 14:50:58,200 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:51:01,550 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:51:01,550 | numpy_client.py:228 | read: ReadRes(clock=0)
DEBUG flower 2021-04-10 14:51:01,558 | numpy_client.py:172 | fit, FitIns(clock=1)
DEBUG flower 2021-04-10 14:51:01,558 | numpy_client.py:260 | cached_clock: 0, curr_clock: 1
INFO flower 2021-04-10 14:51:03,413 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=1)
INFO flower 2021-04-10 14:51:03,413 | chaos.py:14 | Delay 78 sec
DEBUG flower 2021-04-10 14:52:21,446 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:52:21,470 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:52:21,470 | numpy_client.py:172 | fit, FitIns(clock=2)
DEBUG flower 2021-04-10 14:52:21,470 | numpy_client.py:260 | cached_clock: 0, curr_clock: 2
INFO flower 2021-04-10 14:52:21,470 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 14:52:21,471 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:52:33,669 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:52:33,670 | numpy_client.py:228 | read: ReadRes(clock=1)
DEBUG flower 2021-04-10 14:52:33,677 | numpy_client.py:172 | fit, FitIns(clock=2)
DEBUG flower 2021-04-10 14:52:33,677 | numpy_client.py:260 | cached_clock: 1, curr_clock: 2
INFO flower 2021-04-10 14:52:35,634 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=2)
INFO flower 2021-04-10 14:52:35,635 | chaos.py:14 | Delay 63 sec
DEBUG flower 2021-04-10 14:53:38,663 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:53:38,686 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:53:38,687 | numpy_client.py:172 | fit, FitIns(clock=3)
DEBUG flower 2021-04-10 14:53:38,687 | numpy_client.py:260 | cached_clock: 1, curr_clock: 3
INFO flower 2021-04-10 14:53:38,687 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 14:53:38,687 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 14:53:47,898 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 14:53:47,898 | numpy_client.py:228 | read: ReadRes(clock=2)
DEBUG flower 2021-04-10 14:53:47,906 | numpy_client.py:172 | fit, FitIns(clock=3)
DEBUG flower 2021-04-10 14:53:47,906 | numpy_client.py:260 | cached_clock: 2, curr_clock: 3
INFO flower 2021-04-10 14:53:50,017 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=3)
INFO flower 2021-04-10 14:53:50,018 | chaos.py:14 | Delay 44 sec
