DEBUG flower 2021-04-11 17:23:45,641 | client.py:83 | Start SSP client with delay [60,180]
DEBUG flower 2021-04-11 17:23:48,453 | connection.py:36 | ChannelConnectivity.IDLE
INFO flower 2021-04-11 17:23:48,454 | app.py:63 | Opened (insecure) gRPC connection
DEBUG flower 2021-04-11 17:23:48,454 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:23:48,455 | connection.py:36 | ChannelConnectivity.READY
DEBUG flower 2021-04-11 20:20:11,518 | app.py:68 | Received server message. Handling...
INFO flower 2021-04-11 20:30:10,321 | numpy_client.py:250 | [32;1m Loss: 44.090, Accuracy: 5.202%[0m
DEBUG flower 2021-04-11 20:30:10,322 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 20:30:10,619 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 20:30:10,627 | connection.py:68 | Insecure gRPC channel closed
INFO flower 2021-04-11 20:30:10,627 | app.py:76 | Disconnect and shut down
Namespace(idx=2, max_delay=0, min_delay=0, num_clients=7, server_ip='10.244.2.62:8080', staleness_bound=1)
I'm client 2
Files already downloaded and verified
Files already downloaded and verified
[32;1mClient 2: 613 train samples, 173 test samples[0m
Files already downloaded and verified
Files already downloaded and verified
Testing on full test set: 313, 1383.523856163025, 0.3391
Testing on partial test set: 6, 44.089539527893066, 0.05202312138728324
04-11 17:23:46,859 | chaos.py:14 | Delay 166 sec
DEBUG flower 2021-04-11 17:26:32,876 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:26:34,413 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:26:34,413 | numpy_client.py:238 | update_staleness: Staleness bound set to 30
DEBUG flower 2021-04-11 17:26:34,413 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:26:35,237 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:26:35,257 | numpy_client.py:172 | fit, FitIns(clock=1)
DEBUG flower 2021-04-11 17:26:35,257 | numpy_client.py:260 | cached_clock: -1, curr_clock: 1
INFO flower 2021-04-11 17:27:25,168 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=1)
INFO flower 2021-04-11 17:27:25,169 | chaos.py:14 | Delay 129 sec
DEBUG flower 2021-04-11 17:29:34,283 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:29:35,637 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:29:35,638 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:29:36,501 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:29:36,533 | numpy_client.py:172 | fit, FitIns(clock=2)
DEBUG flower 2021-04-11 17:29:36,533 | numpy_client.py:260 | cached_clock: -1, curr_clock: 2
INFO flower 2021-04-11 17:30:26,556 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=2)
INFO flower 2021-04-11 17:30:26,556 | chaos.py:14 | Delay 102 sec
DEBUG flower 2021-04-11 17:32:08,664 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:32:09,337 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:32:09,337 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:32:09,876 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:32:09,902 | numpy_client.py:172 | fit, FitIns(clock=3)
DEBUG flower 2021-04-11 17:32:09,902 | numpy_client.py:260 | cached_clock: -1, curr_clock: 3
INFO flower 2021-04-11 17:32:59,569 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=3)
INFO flower 2021-04-11 17:32:59,569 | chaos.py:14 | Delay 124 sec
DEBUG flower 2021-04-11 17:35:03,654 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:35:04,423 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:35:04,423 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:35:04,987 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:35:05,012 | numpy_client.py:172 | fit, FitIns(clock=4)
DEBUG flower 2021-04-11 17:35:05,012 | numpy_client.py:260 | cached_clock: -1, curr_clock: 4
INFO flower 2021-04-11 17:35:55,153 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=4)
INFO flower 2021-04-11 17:35:55,153 | chaos.py:14 | Delay 113 sec
DEBUG flower 2021-04-11 17:37:48,198 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:38:19,232 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:38:19,232 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:38:19,970 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:38:19,996 | numpy_client.py:172 | fit, FitIns(clock=5)
DEBUG flower 2021-04-11 17:38:19,996 | numpy_client.py:260 | cached_clock: -1, curr_clock: 5
