DEBUG flower 2021-04-10 15:52:13,579 | client.py:83 | Start SSP client with delay [40,80]
DEBUG flower 2021-04-10 15:52:16,234 | connection.py:36 | ChannelConnectivity.IDLE
DEBUG flower 2021-04-10 15:52:16,235 | connection.py:36 | ChannelConnectivity.CONNECTING
DEBUG flower 2021-04-10 15:52:16,236 | connection.py:36 | ChannelConnectivity.READY
INFO flower 2021-04-10 15:52:16,236 | app.py:63 | Opened (insecure) gRPC connection
DEBUG flower 2021-04-10 15:52:16,236 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:52:20,764 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:52:20,765 | numpy_client.py:172 | fit, FitIns(clock=0)
INFO flower 2021-04-10 15:52:20,765 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 15:52:20,765 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:52:20,968 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:52:20,968 | numpy_client.py:228 | read: ReadRes(clock=-1)
DEBUG flower 2021-04-10 15:52:20,985 | numpy_client.py:172 | fit, FitIns(clock=0)
DEBUG flower 2021-04-10 15:52:20,985 | numpy_client.py:260 | cached_clock: -1, curr_clock: 0
DEBUG flower 2021-04-10 15:52:22,830 | model_wrapper.py:21 | Load existing initial model
INFO flower 2021-04-10 15:52:22,833 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=0)
INFO flower 2021-04-10 15:52:22,834 | chaos.py:14 | Delay 74 sec
DEBUG flower 2021-04-10 15:53:36,908 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:53:36,930 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:53:36,931 | numpy_client.py:172 | fit, FitIns(clock=1)
DEBUG flower 2021-04-10 15:53:36,931 | numpy_client.py:260 | cached_clock: -1, curr_clock: 1
INFO flower 2021-04-10 15:53:38,827 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=1)
INFO flower 2021-04-10 15:53:38,827 | chaos.py:14 | Delay 78 sec
DEBUG flower 2021-04-10 15:54:56,836 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:54:56,857 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:54:56,857 | numpy_client.py:172 | fit, FitIns(clock=2)
DEBUG flower 2021-04-10 15:54:56,857 | numpy_client.py:260 | cached_clock: -1, curr_clock: 2
INFO flower 2021-04-10 15:54:56,858 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 15:54:56,858 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:54:56,904 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:54:56,905 | numpy_client.py:228 | read: ReadRes(clock=0)
DEBUG flower 2021-04-10 15:54:56,912 | numpy_client.py:172 | fit, FitIns(clock=2)
DEBUG flower 2021-04-10 15:54:56,912 | numpy_client.py:260 | cached_clock: 0, curr_clock: 2
INFO flower 2021-04-10 15:54:58,732 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=2)
INFO flower 2021-04-10 15:54:58,732 | chaos.py:14 | Delay 63 sec
DEBUG flower 2021-04-10 15:56:01,796 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:56:01,820 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:56:01,820 | numpy_client.py:172 | fit, FitIns(clock=3)
DEBUG flower 2021-04-10 15:56:01,820 | numpy_client.py:260 | cached_clock: 0, curr_clock: 3
INFO flower 2021-04-10 15:56:01,821 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 15:56:01,821 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:56:01,836 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:56:01,837 | numpy_client.py:228 | read: ReadRes(clock=1)
DEBUG flower 2021-04-10 15:56:01,844 | numpy_client.py:172 | fit, FitIns(clock=3)
DEBUG flower 2021-04-10 15:56:01,844 | numpy_client.py:260 | cached_clock: 1, curr_clock: 3
INFO flower 2021-04-10 15:56:03,716 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=3)
INFO flower 2021-04-10 15:56:03,716 | chaos.py:14 | Delay 44 sec
DEBUG flower 2021-04-10 15:56:47,760 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:56:47,784 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:56:47,785 | numpy_client.py:172 | fit, FitIns(clock=4)
DEBUG flower 2021-04-10 15:56:47,785 | numpy_client.py:260 | cached_clock: 1, curr_clock: 4
INFO flower 2021-04-10 15:56:47,785 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 15:56:47,785 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:56:47,815 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:56:47,815 | numpy_client.py:228 | read: ReadRes(clock=2)
DEBUG flower 2021-04-10 15:56:47,822 | numpy_client.py:172 | fit, FitIns(clock=4)
DEBUG flower 2021-04-10 15:56:47,822 | numpy_client.py:260 | cached_clock: 2, curr_clock: 4
INFO flower 2021-04-10 15:56:49,635 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=4)
INFO flower 2021-04-10 15:56:49,636 | chaos.py:14 | Delay 47 sec
DEBUG flower 2021-04-10 15:57:36,683 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:57:36,704 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:57:36,705 | numpy_client.py:172 | fit, FitIns(clock=5)
DEBUG flower 2021-04-10 15:57:36,705 | numpy_client.py:260 | cached_clock: 2, curr_clock: 5
INFO flower 2021-04-10 15:57:36,705 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 15:57:36,705 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:57:36,720 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:57:36,720 | numpy_client.py:228 | read: ReadRes(clock=3)
DEBUG flower 2021-04-10 15:57:36,727 | numpy_client.py:172 | fit, FitIns(clock=5)
DEBUG flower 2021-04-10 15:57:36,728 | numpy_client.py:260 | cached_clock: 3, curr_clock: 5
INFO flower 2021-04-10 15:57:38,633 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=5)
INFO flower 2021-04-10 15:57:38,633 | chaos.py:14 | Delay 47 sec
DEBUG flower 2021-04-10 15:58:25,674 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:58:25,696 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:58:25,697 | numpy_client.py:172 | fit, FitIns(clock=6)
DEBUG flower 2021-04-10 15:58:25,697 | numpy_client.py:260 | cached_clock: 3, curr_clock: 6
INFO flower 2021-04-10 15:58:25,697 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 15:58:25,697 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:58:25,712 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:58:25,713 | numpy_client.py:228 | read: ReadRes(clock=4)
DEBUG flower 2021-04-10 15:58:25,720 | numpy_client.py:172 | fit, FitIns(clock=6)
DEBUG flower 2021-04-10 15:58:25,720 | numpy_client.py:260 | cached_clock: 4, curr_clock: 6
INFO flower 2021-04-10 15:58:27,613 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=6)
INFO flower 2021-04-10 15:58:27,613 | chaos.py:14 | Delay 79 sec
DEBUG flower 2021-04-10 15:59:46,647 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:59:46,672 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:59:46,672 | numpy_client.py:172 | fit, FitIns(clock=7)
DEBUG flower 2021-04-10 15:59:46,672 | numpy_client.py:260 | cached_clock: 4, curr_clock: 7
INFO flower 2021-04-10 15:59:46,673 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 15:59:46,673 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:59:46,706 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:59:46,707 | numpy_client.py:228 | read: ReadRes(clock=5)
DEBUG flower 2021-04-10 15:59:46,714 | numpy_client.py:172 | fit, FitIns(clock=7)
DEBUG flower 2021-04-10 15:59:46,715 | numpy_client.py:260 | cached_clock: 5, curr_clock: 7
INFO flower 2021-04-10 15:59:48,612 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=7)
INFO flower 2021-04-10 15:59:48,613 | chaos.py:14 | Delay 79 sec
DEBUG flower 2021-04-10 16:01:07,692 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:01:07,716 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:01:07,716 | numpy_client.py:172 | fit, FitIns(clock=8)
DEBUG flower 2021-04-10 16:01:07,717 | numpy_client.py:260 | cached_clock: 5, curr_clock: 8
INFO flower 2021-04-10 16:01:07,717 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:01:07,717 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:01:07,800 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:01:07,801 | numpy_client.py:228 | read: ReadRes(clock=6)
DEBUG flower 2021-04-10 16:01:07,808 | numpy_client.py:172 | fit, FitIns(clock=8)
DEBUG flower 2021-04-10 16:01:07,808 | numpy_client.py:260 | cached_clock: 6, curr_clock: 8
INFO flower 2021-04-10 16:01:09,711 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=8)
INFO flower 2021-04-10 16:01:09,712 | chaos.py:14 | Delay 45 sec
DEBUG flower 2021-04-10 16:01:54,758 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:02:01,046 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:02:01,046 | numpy_client.py:172 | fit, FitIns(clock=9)
DEBUG flower 2021-04-10 16:02:01,046 | numpy_client.py:260 | cached_clock: 6, curr_clock: 9
INFO flower 2021-04-10 16:02:01,046 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:02:01,047 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:02:18,338 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:02:18,338 | numpy_client.py:228 | read: ReadRes(clock=7)
DEBUG flower 2021-04-10 16:02:18,346 | numpy_client.py:172 | fit, FitIns(clock=9)
DEBUG flower 2021-04-10 16:02:18,346 | numpy_client.py:260 | cached_clock: 7, curr_clock: 9
INFO flower 2021-04-10 16:02:20,310 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=9)
INFO flower 2021-04-10 16:02:20,311 | chaos.py:14 | Delay 54 sec
DEBUG flower 2021-04-10 16:03:14,352 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:03:14,377 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:03:14,378 | numpy_client.py:172 | fit, FitIns(clock=10)
DEBUG flower 2021-04-10 16:03:14,378 | numpy_client.py:260 | cached_clock: 7, curr_clock: 10
INFO flower 2021-04-10 16:03:14,378 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:03:14,379 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:03:14,689 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:03:14,690 | numpy_client.py:228 | read: ReadRes(clock=8)
DEBUG flower 2021-04-10 16:03:14,697 | numpy_client.py:172 | fit, FitIns(clock=10)
DEBUG flower 2021-04-10 16:03:14,697 | numpy_client.py:260 | cached_clock: 8, curr_clock: 10
INFO flower 2021-04-10 16:03:16,529 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=10)
INFO flower 2021-04-10 16:03:16,529 | chaos.py:14 | Delay 65 sec
DEBUG flower 2021-04-10 16:04:21,550 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:04:21,574 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:04:21,574 | numpy_client.py:172 | fit, FitIns(clock=11)
DEBUG flower 2021-04-10 16:04:21,574 | numpy_client.py:260 | cached_clock: 8, curr_clock: 11
INFO flower 2021-04-10 16:04:21,575 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:04:21,575 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:04:21,604 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:04:21,605 | numpy_client.py:228 | read: ReadRes(clock=9)
DEBUG flower 2021-04-10 16:04:21,612 | numpy_client.py:172 | fit, FitIns(clock=11)
DEBUG flower 2021-04-10 16:04:21,612 | numpy_client.py:260 | cached_clock: 9, curr_clock: 11
INFO flower 2021-04-10 16:04:23,533 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=11)
INFO flower 2021-04-10 16:04:23,533 | chaos.py:14 | Delay 71 sec
DEBUG flower 2021-04-10 16:05:34,570 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:05:34,591 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:05:34,591 | numpy_client.py:172 | fit, FitIns(clock=12)
DEBUG flower 2021-04-10 16:05:34,591 | numpy_client.py:260 | cached_clock: 9, curr_clock: 12
INFO flower 2021-04-10 16:05:34,592 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:05:34,592 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:05:36,129 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:05:36,129 | numpy_client.py:228 | read: ReadRes(clock=10)
DEBUG flower 2021-04-10 16:05:36,137 | numpy_client.py:172 | fit, FitIns(clock=12)
DEBUG flower 2021-04-10 16:05:36,137 | numpy_client.py:260 | cached_clock: 10, curr_clock: 12
INFO flower 2021-04-10 16:05:38,032 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=12)
INFO flower 2021-04-10 16:05:38,033 | chaos.py:14 | Delay 78 sec
DEBUG flower 2021-04-10 16:06:56,084 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:06:56,110 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:06:56,111 | numpy_client.py:172 | fit, FitIns(clock=13)
DEBUG flower 2021-04-10 16:06:56,111 | numpy_client.py:260 | cached_clock: 10, curr_clock: 13
INFO flower 2021-04-10 16:06:56,111 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:06:56,111 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:07:01,230 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:07:01,230 | numpy_client.py:228 | read: ReadRes(clock=11)
DEBUG flower 2021-04-10 16:07:01,238 | numpy_client.py:172 | fit, FitIns(clock=13)
DEBUG flower 2021-04-10 16:07:01,238 | numpy_client.py:260 | cached_clock: 11, curr_clock: 13
INFO flower 2021-04-10 16:07:03,133 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=13)
INFO flower 2021-04-10 16:07:03,133 | chaos.py:14 | Delay 71 sec
DEBUG flower 2021-04-10 16:08:14,205 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:08:14,227 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:08:14,228 | numpy_client.py:172 | fit, FitIns(clock=14)
DEBUG flower 2021-04-10 16:08:14,228 | numpy_client.py:260 | cached_clock: 11, curr_clock: 14
INFO flower 2021-04-10 16:08:14,228 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:08:14,229 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:08:31,519 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:08:31,520 | numpy_client.py:228 | read: ReadRes(clock=12)
DEBUG flower 2021-04-10 16:08:31,528 | numpy_client.py:172 | fit, FitIns(clock=14)
DEBUG flower 2021-04-10 16:08:31,528 | numpy_client.py:260 | cached_clock: 12, curr_clock: 14
INFO flower 2021-04-10 16:08:33,413 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=14)
INFO flower 2021-04-10 16:08:33,414 | chaos.py:14 | Delay 59 sec
DEBUG flower 2021-04-10 16:09:32,474 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:09:32,497 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:09:32,498 | numpy_client.py:172 | fit, FitIns(clock=15)
DEBUG flower 2021-04-10 16:09:32,498 | numpy_client.py:260 | cached_clock: 12, curr_clock: 15
INFO flower 2021-04-10 16:09:32,498 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:09:32,499 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:09:53,604 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:09:53,605 | numpy_client.py:228 | read: ReadRes(clock=13)
DEBUG flower 2021-04-10 16:09:53,613 | numpy_client.py:172 | fit, FitIns(clock=15)
DEBUG flower 2021-04-10 16:09:53,613 | numpy_client.py:260 | cached_clock: 13, curr_clock: 15
INFO flower 2021-04-10 16:09:55,728 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=15)
INFO flower 2021-04-10 16:09:55,729 | chaos.py:14 | Delay 45 sec
DEBUG flower 2021-04-10 16:10:40,755 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:10:40,777 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:10:40,778 | numpy_client.py:172 | fit, FitIns(clock=16)
DEBUG flower 2021-04-10 16:10:40,778 | numpy_client.py:260 | cached_clock: 13, curr_clock: 16
INFO flower 2021-04-10 16:10:40,778 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:10:40,778 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:11:03,712 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:11:03,713 | numpy_client.py:228 | read: ReadRes(clock=14)
DEBUG flower 2021-04-10 16:11:03,720 | numpy_client.py:172 | fit, FitIns(clock=16)
DEBUG flower 2021-04-10 16:11:03,721 | numpy_client.py:260 | cached_clock: 14, curr_clock: 16
INFO flower 2021-04-10 16:11:05,736 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=16)
INFO flower 2021-04-10 16:11:05,736 | chaos.py:14 | Delay 60 sec
DEBUG flower 2021-04-10 16:12:05,797 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:12:05,819 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:12:05,819 | numpy_client.py:172 | fit, FitIns(clock=17)
DEBUG flower 2021-04-10 16:12:05,819 | numpy_client.py:260 | cached_clock: 14, curr_clock: 17
INFO flower 2021-04-10 16:12:05,820 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:12:05,820 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:12:05,833 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:12:05,834 | numpy_client.py:228 | read: ReadRes(clock=15)
