DEBUG flower 2021-04-10 20:02:42,384 | client.py:83 | Start SSP client with delay [40,80]
DEBUG flower 2021-04-10 20:02:45,071 | connection.py:36 | ChannelConnectivity.IDLE
DEBUG flower 2021-04-10 20:02:45,073 | connection.py:36 | ChannelConnectivity.CONNECTING
INFO flower 2021-04-10 20:02:45,073 | app.py:63 | Opened (insecure) gRPC connection
DEBUG flower 2021-04-10 20:02:45,073 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:02:45,098 | connection.py:36 | ChannelConnectivity.READY
DEBUG flower 2021-04-10 20:02:51,276 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:02:51,277 | numpy_client.py:172 | fit, FitIns(clock=0)
INFO flower 2021-04-10 20:02:51,277 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 20:02:51,277 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:02:51,401 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:02:51,401 | numpy_client.py:228 | read: ReadRes(clock=-1)
DEBUG flower 2021-04-10 20:02:51,418 | numpy_client.py:172 | fit, FitIns(clock=0)
DEBUG flower 2021-04-10 20:02:51,418 | numpy_client.py:260 | cached_clock: -1, curr_clock: 0
DEBUG flower 2021-04-10 20:02:52,969 | model_wrapper.py:21 | Load existing initial model
INFO flower 2021-04-10 20:02:52,972 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=0)
INFO flower 2021-04-10 20:02:52,972 | chaos.py:14 | Delay 74 sec
DEBUG flower 2021-04-10 20:04:07,013 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:04:07,028 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:04:07,028 | numpy_client.py:238 | update_staleness: Staleness bound set to 30
DEBUG flower 2021-04-10 20:04:07,028 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 20:04:07,037 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 20:04:07,038 | numpy_client.py:172 | fit, FitIns(clock=1)
DEBUG flower 2021-04-10 20:04:07,038 | numpy_client.py:260 | cached_clock: -1, curr_clock: 1
INFO flower 2021-04-10 20:04:08,651 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=1)
INFO flower 2021-04-10 20:04:08,652 | chaos.py:14 | Delay 78 sec
